TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX
5,진천,성인,일반,45,관리자,참가증,20201201,"준비운동:전신 루틴 스트레칭,목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,트레드밀에서 걷기 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,바벨들어올리기,바벨 끌어당기기,서서 바벨 위로 밀기,덤벨 옆으로 들어올리기 / 마무리운동:달리기,실내 자전거타기",M
1,구미,성인,출장,19,관리자,참가증,20201211,"본운동:앉아서 다리 펴기,앉아서 다리 굽히기,앉아서 당겨 내리기,앉아서 밀기,앉았다 일어서기,소파를 이용한 윗몸올리기,엎드려 버티기,누워서 다리 들어올리기,달리기,실내 자전거타기,계단 올라갔다 내려오기,수영 / 마무리운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭",M
1,경산,성인,일반,20,관리자,2등급,20201211,"본운동:뛰어 내렸다가 바로 점프하기,버피운동,무릎 높여 제자리 달리기",F
2,진천,성인,출장,19,관리자,3등급,20201211,"준비운동:누워서 전신 뻗기,깍지 끼고 상체 숙이기,엉덩이 스트레칭,엉덩이 스트레칭2,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,허리 스트레칭,목 스트레칭,등/어깨 뒤쪽 스트레칭,어깨 뒤쪽 스트레칭,아래 팔 스트레칭",F
2,광주,성인,일반,21,관리자,참가증,20201201,"준비운동:실내 자전거타기,트레드밀에서 걷기,줄넘기,계단 올라갔다 내려오기 / 본운동:머신이용 근력운동 루틴프로그램,턱걸이,바벨 잡고 들어올리기,버피 테스트 / 마무리운동:골반 스트레칭2,폼롤러 이용 유연성운동 루틴 프로그램,의자이용 유연성운동 루틴 프로그램,엉덩이 스트레칭,전신 루틴 스트레칭",M
1,구미,성인,출장,19,관리자,참가증,20201211,"본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,윗몸올리기 ,누워서 다리 들어올리기",M
5,청주,성인,일반,20,관리자,3등급,20201201,"준비운동:목 스트레칭,가슴/어깨 앞쪽 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭 / 본운동:줄넘기,수영,달리기,실내 자전거타기",F
2,포항,성인,일반,19,인바디,2등급,20201201,"준비운동:자가근막이완술 루틴 스트레칭,전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:앉았다 일어서기,앉아서 다리 밀기,앉아서 다리 모으기,바벨 끌어당기기,서서 바벨 위로 밀기 / 마무리운동:넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,목 스트레칭,허리 스트레칭,배스트레칭",F
1,구미,성인,일반,42,관리자,2등급,20201201,"본운동:스텝퍼 뛰어서 오르내리기,스텝퍼 뛰어서 넘어가기,사다리 좌우 뛰기,버피운동,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,윗몸올리기 ,누워서 다리 들어올리기",M
1,고양,성인,일반,34,관리자,3등급,20201201,"준비운동:전신 루틴 스트레칭 / 본운동:넙다리 안쪽 스트레칭,스텝퍼 옆으로 뛰어넘기",M
1,청주,성인,일반,24,관리자,참가증,20201201,"준비운동:목 스트레칭,가슴/어깨 앞쪽 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭 / 본운동:줄넘기,수영,달리기,실내 자전거타기",F
2,고양,성인,일반,23,관리자,3등급,20201201,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기 / 마무리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭",M
2,청주,성인,일반,25,관리자,3등급,20201201,"본운동:목 스트레칭,옆구리 스트레칭,전신 루틴 스트레칭,하지 루틴 스트레칭2,상지 루틴 스트레칭,하지 루틴 스트레칭1",M
5,KSPO대구,청소년,일반,18,,1등급,20201208,"본운동:서서 균형잡으며 몸통 회전하기,밴드 잡고 몸통 옆으로 굽히기,다리로 짐볼 들어올리기,엎드려 양팔 및 다리 들어올리기",F
1,포항,성인,일반,48,인바디,참가증,20201211,"준비운동:작은 공을 이용한 동적 루틴 스트레칭 ,유산소 운동 전 동적 루틴 스트레칭,짐볼을 이용한 동적 루틴 스트레칭 / 본운동:트레드밀에서 걷기,실내 자전거타기,달리기,수영 / 마무리운동:하지 루틴 스트레칭1,엉덩이 스트레칭,상지 루틴 스트레칭,목 스트레칭,전신 루틴 스트레칭",M
3,KSPO아산,성인,일반,19,,2등급,20201204,"준비운동:실내 자전거타기,트레드밀에서 걷기,수영",F
1,고양,성인,일반,28,관리자,참가증,20201201,"준비운동:하지 루틴 스트레칭1 / 본운동:윗몸 말아 올리기,앉았다 일어서기 / 마무리운동:무릎 높여 제자리 달리기",M
2,구미,성인,출장,20,관리자,참가증,20201211,"본운동:스텝퍼 뛰어서 오르내리기,스텝퍼 뛰어서 넘어가기,사다리 좌우 뛰기,버피운동 / 마무리운동:넙다리 뒤쪽 스트레칭,하지 루틴 스트레칭1,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭",M
2,고양,성인,일반,19,관리자,참가증,20201204,"준비운동:유산소 운동 전 동적 루틴 스트레칭,스텝퍼 뛰어서 오르내리기 / 본운동:윗몸올리기  / 마무리운동:좌식생활자를 위한 동적 루틴 스트레칭 ",F
3,강릉,성인,일반,20,관리자,참가증,20201210,"준비운동:걷기,달리기,수영",F
1,연제,성인,출장,29,관리자,참가증,20201208,"준비운동:트레드밀에서 걷기,계단 뛰어 오르기 / 본운동:엎드려서 다리 차올리기,의자 앞에서 앉았다 일어서기,엎드려 버티기,누워서 엉덩이 들어올리기,네발기기 자세로 팔 다리 들기,서서 탄력밴드 당겨내리기/올리기,허리 굽혀 팔 뒤로 들기,한발 앞으로 내밀고 앉았다 일어서기,서서 다리 뒤로 차기,누워서 배가로근 수축 II / 마무리운동:전신 루틴 스트레칭,자가근막이완술 루틴 스트레칭",M
1,제주,성인,일반,25,관리자,2등급,20201201,"준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:달리기,걷기,계단 올라갔다 내려오기 / 마무리운동:걷기,전신 루틴 스트레칭",M
4,연제,성인,출장,37,관리자,2등급,20201208,"준비운동:유산소 운동 전 동적 루틴 스트레칭,트레드밀에서 걷기 / 본운동:달리기,계단 뛰어 오르기,스텝퍼 뛰어서 오르내리기,스텝퍼 옆으로 뛰어넘기,버피운동 / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭",M
1,연제,성인,일반,25,관리자,2등급,20201208,"준비운동:스텝퍼 뛰어서 오르내리기 / 본운동:덤벨 옆으로 들어올리기,윗몸 말아 올리기,엎드려서 다리 차올리기,탄력밴드 어깨 가쪽 돌림 ,서서 탄력밴드 당겨내리기/올리기,뒤로 팔굽혀펴기,허리 굽혀 팔 뒤로 들기,물병 옆으로 들어올리기,팔꿈치 굽히기 / 마무리운동:전신 루틴 스트레칭,작은 공을 이용한 동적 루틴 스트레칭 ",M
1,연제,성인,출장,26,관리자,2등급,20201208,"준비운동:트레드밀에서 걷기,계단 뛰어 오르기 / 본운동:엎드려서 다리 차올리기,의자 앞에서 앉았다 일어서기,엎드려 버티기,누워서 엉덩이 들어올리기,네발기기 자세로 팔 다리 들기,서서 탄력밴드 당겨내리기/올리기,허리 굽혀 팔 뒤로 들기,한발 앞으로 내밀고 앉았다 일어서기,서서 다리 뒤로 차기,누워서 배가로근 수축 II / 마무리운동:전신 루틴 스트레칭,자가근막이완술 루틴 스트레칭",M
1,구미,성인,출장,19,관리자,참가증,20201210,"본운동:앉았다 일어서기,윗몸올리기 ,소파를 이용한 윗몸올리기,엎드려 버티기,누워서 다리 들어올리기,누워서 엉덩이 들어올리기,팔굽혀펴기,물병 옆으로 들어올리기,달리기,실내 자전거타기,계단 올라갔다 내려오기,수영",F
3,계룡,성인,일반,20,관리자,2등급,20201210,"준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,엎드려 버티기,옆으로 누워 버티기,누워서 엉덩이 들어올리기,한발 앞으로 내밀고 앉았다 일어서기,앉았다 일어서기,앉아서 다리 밀기,앉아서 다리 펴기,허리 굽혀 팔 뒤로 들기,물병 옆으로 들어올리기,팔꿈치 굽히기,달리기,실내 자전거타기 / 마무리운동:전신 루틴 스트레칭,자가근막이완술 루틴 스트레칭,하지 루틴 스트레칭2,등/어깨 뒤쪽 스트레칭",F
6,KSPO대구,청소년,일반,18,,참가증,20201210,"준비운동:걷기,줄넘기,전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:서서 상체 일으키기,앉았다 일어서기,소파를 이용한 윗몸올리기,엎드려 버티기,네발기기 자세로 팔 다리 들기,서서 다리 뒤로 차기 / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭",F
