TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX,ITEM_F001,ITEM_F002,ITEM_F003,ITEM_F004,ITEM_F005,ITEM_F006,ITEM_F007,ITEM_F008,ITEM_F009,ITEM_F010,ITEM_F011,ITEM_F012,ITEM_F013,ITEM_F014,ITEM_F015,ITEM_F016,ITEM_F017,ITEM_F018,ITEM_F019,ITEM_F020,ITEM_F021,ITEM_F022,ITEM_F023,ITEM_F024,ITEM_F025,ITEM_F026,ITEM_F027,ITEM_F028,ITEM_F029,ITEM_F030,ITEM_F031,ITEM_F032,ITEM_F033,ITEM_F034,ITEM_F035,ITEM_F036,ITEM_F037,ITEM_F038,ITEM_F039,ITEM_F040,ITEM_F041
1,KSPO송파,청소년,일반,15,관리자,참가증,20180105,M,177.5,79.5,30.2,,74,128,42.3,45.4,,38,,11.3,19.09,0.539,50.991,10,51.451,25.2,,32,,,,,,,,57.1,,39.5,,,,,,,,,,,
1,달서,성인,일반,56,인바디,참가증,20180105,F,154.2,55.42,31.7,79.5,90.0,129.0,24.3,28.0,,,,16.0,,,,,,23.3,22,,14.63,123.0,,,,,,50.5,,,91,130,164,,29.4,,,,,,
1,KSPO송파,청소년,일반,17,관리자,3등급,20180106,M,173,75.6,23.3,,79,129,40.4,41.6,,57,,13.5,17.18,0.676,39.026,11,39.532,25.3,,75,,238,,,,,,55.0,,50.1,,,,,,,,,,,
1,KSPO송파,성인,일반,22,인바디,3등급,20180106,F,163.0,56.06,31.5,74.0,81.0,139.0,23.2,26.0,,,,20.7,,,,,,21.1,28,24,13.34,150.0,,,,,,46.3,,34.6,,,,,,,,,,,
2,성동,성인,일반,26,관리자,2등급,20180108,F,161.6,55.1,24.2,79,70,114,23.7,26.3,,,,23.3,,,,,,21.1,39,31,13.17,150,,,,,,47.7,,36.8,,,,,,,,,,,
1,노원,성인,일반,48,관리자,참가증,20180108,F,158.6,54.4,27,77,69,109,19,17.6,,,,-0.3,,,,,,21.6,4,10,14.06,152,,,,,,34.9,,29.6,,,,,,,,,,,
1,세종,성인,출장,47,관리자,3등급,20180106,F,161.1,56.7,30.6,79.2,76,133,25.4,28.3,,,,20.1,,,,,,21.8,26,16,13.20,155,,,,,,49.9,,31.1,,,,,,,,,,,
1,순천,청소년,일반,18,인바디,참가증,20180109,F,158.7,46.64,23.2,69.6,68.0,120.0,11.9,20.4,,25,,16.5,20.4,0.412,60.0,6,60.276,18.5,,20,,,,,,,,43.7,,35.0,,,,,,,,,,,
1,세종,성인,출장,53,관리자,참가증,20180106,F,154.4,53.2,30.9,73.2,85,127,23.4,20.4,,,,20.6,,,,,,22.3,1,16,15.14,125,,,,,,43.9,,31.3,,,,,,,,,,,
2,창원,성인,일반,63,관리자,참가증,20180109,F,153,54.9,32.8,80.3,69,113,22.6,24.8,,,,10.6,,,,,,23.5,15,9,17.80,121,,,,,,45.1,,28.5,,,,,,,,,,,
