TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX
3,KSPO송파,성인,일반,26,관리자,3등급,20181220,준비운동:전신 루틴 스트레칭,M
2,남원,성인,일반,20,관리자,3등급,20181214,본운동:웨이트 트레이닝  루틴프로그램,M
2,KSPO송파,성인,일반,22,관리자,참가증,20181221,준비운동:전신 루틴 스트레칭,M
1,서초,노인,일반,75,인바디,2등급,20181218,"준비운동:저항밴드 운동  루틴프로그램,정적 스트레칭  루틴프로그램",M
1,안동,성인,일반,30,관리자,참가증,20181217,"본운동:달리기,실외 자전거타기,트레드밀에서 걷기,줄넘기,계단 뛰어 오르기",M
1,KSPO송파,청소년,일반,13,관리자,2등급,20181218,준비운동:전신 루틴 스트레칭,M
1,서초,성인,일반,24,인바디,3등급,20181228,"준비운동:저항밴드 운동  루틴프로그램,정적 스트레칭  루틴프로그램",F
2,안동,청소년,출장,16,관리자,참가증,20181213,"본운동:걷기,조깅,자전거타기,줄넘기 운동,수영",M
1,KSPO송파,청소년,일반,13,관리자,참가증,20181218,준비운동:전신 루틴 스트레칭,M
1,노원,노인,출장,72,관리자,3등급,20181214,"본운동:밴드 걸고 누워서 다리 들어올리기,밴드 걸고 앉아서 발등 굽힘,몸통 들어올리기,엎드려 양팔 및 다리 들어올리기",M
4,제주,성인,일반,61,관리자,참가증,20181219,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:팔굽혀펴기,앉았다 일어서기,윗몸올리기  / 마무리운동:전신 루틴 스트레칭",F
2,순천,성인,일반,63,인바디,2등급,20181231,"준비운동:걷기 / 본운동:상지 루틴 스트레칭,전신 루틴 스트레칭 / 마무리운동:실내 자전거타기",M
2,사상,성인,일반,57,관리자,참가증,20181221,"본운동:손목 펴기/굽히기,물병 옆으로 들어올리기,앉아서 팔꿈치 굽히기/펴기 ",M
1,서초,성인,일반,19,관리자,참가증,20181221,"준비운동:저항밴드 운동  루틴프로그램,정적 스트레칭  루틴프로그램",M
2,안동,청소년,출장,16,관리자,3등급,20181213,"본운동:걷기,조깅,자전거타기,줄넘기 운동,수영",M
1,노원,성인,일반,28,인바디,참가증,20181220,"본운동:달리기,실내 자전거타기,줄넘기,계단 뛰어 오르기",M
1,KSPO송파,청소년,출장,13,관리자,3등급,20181218,준비운동:전신 루틴 스트레칭,F
2,KSPO송파,노인,일반,65,관리자,1등급,20181221,준비운동:전신 루틴 스트레칭,M
1,사상,성인,일반,49,인바디,참가증,20181218,"본운동:몸통 옆으로 굽히기,서서 다리 뒤로 차기,엎드려 버티기,윗몸올리기 ,누워서 엉덩이 들어올리기,팔굽혀펴기",M
1,KSPO송파(출장A),성인,출장,23,관리자,참가증,20181214,"준비운동:계단 올라갔다 내려오기,하지 루틴 스트레칭1,상지 루틴 스트레칭 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,누워서 다리 들어올리기,팔굽혀펴기,팔꿈치 굽히기 / 마무리운동:전신 루틴 스트레칭",M
1,부천,성인,일반,44,관리자,참가증,20181217,"본운동:달리기,실외 자전거타기,줄넘기,수영",F
1,안동,노인,출장,70,관리자,참가증,20181212,"본운동:물속에서 걷기,아쿠아로빅-물당기기/밀기,아쿠아로빅-물누르기/올리기,고정식 자전거 타기,스텝박스,스텝박스 오르내리기 ",F
1,서초,성인,일반,52,인바디,2등급,20181214,준비운동:전신 루틴 스트레칭,F
1,곡성,노인,일반,68,관리자,참가증,20181221,"본운동:누워서 전신 뻗기,양팔 벌려 전신 비틀기,깍지 끼고 상체 숙이기",M
4,순천,성인,일반,19,인바디,참가증,20181221,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",M
4,순천,성인,일반,58,인바디,참가증,20181221,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",F
4,오산,노인,일반,71,인바디,참가증,20181231,"본운동:전신 루틴 스트레칭,상지 루틴 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2,목 스트레칭,허리 스트레칭",M
2,제주,노인,일반,68,관리자,참가증,20181219,"준비운동:계단 올라갔다 내려오기,걷기,하지 루틴 스트레칭1 / 본운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,배스트레칭,허리 스트레칭,목 스트레칭,옆구리 스트레칭",F
1,사상,청소년,일반,17,관리자,참가증,20181218,"본운동:줄넘기 운동,조깅",M
3,안동,청소년,출장,16,관리자,1등급,20181213,"본운동:누워서 전신 뻗기,깍지 끼고 상체 숙이기,등/어깨 뒤쪽 스트레칭,어깨 뒤쪽 스트레칭,아래 팔 스트레칭,엉덩이 스트레칭,엉덩이 스트레칭2,넙다리 앞쪽 스트레칭,회전근개 스트레칭,어깨 스트레칭,어깨 양 옆으로 돌리기,골반 스트레칭,골반 스트레칭2",M
1,사상,성인,일반,43,인바디,참가증,20181217,본운동:달리기,M
2,안동,청소년,출장,16,관리자,2등급,20181213,"준비운동:전신 루틴 스트레칭,계단 올라갔다 내려오기,걷기,조깅,줄넘기 운동,스텝박스",M
2,안동,청소년,출장,15,관리자,참가증,20181213,"본운동:걷기,조깅,자전거타기,줄넘기 운동,수영",M
1,부천,성인,일반,63,관리자,2등급,20181220,"본운동:앉았다 일어서기,팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기",F
5,순천,성인,일반,61,인바디,참가증,20181214,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",M
1,KSPO송파,청소년,출장,13,관리자,1등급,20181218,준비운동:전신 루틴 스트레칭,F
1,강릉,성인,일반,23,관리자,참가증,20181214,"준비운동:달리기,윗몸올리기 ,엎드려 버티기,옆으로 누워 버티기,누워서 다리 들어올리기,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭",M
1,노원,노인,출장,76,관리자,3등급,20181214,"준비운동:의자 앞에서 앉았다 일어서기,몸통 들어올리기,비복근 스트레칭,실내 자전거타기,트레드밀에서 걷기,수영",M
2,오산,노인,일반,73,인바디,1등급,20181218,"본운동:고정식 트레드밀에서 걷기,고정식 자전거 타기,스텝박스 오르내리기 ,수영",M
10,순천,노인,일반,79,인바디,참가증,20181218,"준비운동:걷기 / 본운동:엉덩이 스트레칭,엉덩이 스트레칭2 / 마무리운동:고정식 자전거 타기",M
1,안동,성인,일반,20,관리자,참가증,20181217,"본운동:달리기,실외 자전거타기,트레드밀에서 걷기,줄넘기,계단 뛰어 오르기",F
1,노원,노인,출장,74,관리자,참가증,20181214,"준비운동:의자 앞에서 앉았다 일어서기,몸통 들어올리기,비복근 스트레칭,실내 자전거타기,트레드밀에서 걷기,수영",F
1,곡성,노인,일반,69,관리자,참가증,20181220,"본운동:바벨 당겨 올리기,앉아서 팔꿈치 굽히기,서서 팔꿈치 펴기,앉아서 어깨 위로 밀기",F
1,순천,성인,일반,23,인바디,3등급,20181214,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",M
1,노원,노인,출장,70,관리자,참가증,20181212,"본운동:밴드 걸고 누워서 다리 들어올리기,밴드 걸고 앉아서 발등 굽힘,몸통 들어올리기,엎드려 양팔 및 다리 들어올리기",F
1,KSPO(버스),노인,출장,66,관리자,참가증,20181218,"준비운동:넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,허리 스트레칭,배 스트레칭 / 본운동:몸통 비틀기,가슴/어깨 스트레칭,대퇴이두근 스트레칭2,엉덩이 스트레칭 / 마무리운동:허리 스트레칭,배 스트레칭,옆구리 스트레칭",F
1,성동,노인,일반,76,관리자,3등급,20181214,"준비운동:누워서 전신 뻗기,깍지 끼고 상체 숙이기,양팔 벌려 전신 비틀기,고정식 트레드밀에서 걷기 / 본운동:몸통 들어올리기,물통으로 양팔 들어올리기,벽에서 팔굽혀 펴기,엎드려 버티기,누워서 하늘 자전거,누워서 엉덩이 들어올리기,의자에 앉아 다리 뻗어 올리기,서서 다리 뒤로 차기,서서 뒤꿈치 들기,한발 서서 균형잡기,발등굽힘/발바닥굽힘 / 마무리운동:전신 루틴 스트레칭,실내 자전거타기",F
7,순천,성인,일반,61,인바디,3등급,20181224,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",F
1,원주,청소년,출장,13,관리자,참가증,20181214,"본운동:팔굽혀 펴기,뒤로 팔굽혀펴기,팔다리 교차 버티기,전완대고 버티기,윗몸 일으키기,앉았다 일어서기,걷기,조깅,자전거타기,줄넘기 운동,수영,목 스트레칭,상체 앞으로 숙이기,엉덩이 늘리기,의자에 앉아 옆구리 숙이기",F
1,순천,성인,일반,55,인바디,3등급,20181218,"준비운동:걷기 / 본운동:윗몸 말아 올리기,달리기 / 마무리운동:전신 루틴 스트레칭",F
1,노원,노인,출장,72,관리자,3등급,20181214,"본운동:밴드 걸고 누워서 다리 들어올리기,밴드 걸고 앉아서 발등 굽힘,몸통 들어올리기,엎드려 양팔 및 다리 들어올리기",F
1,오산,노인,일반,73,인바디,참가증,20181224,"본운동:달리기,실외 자전거타기,줄넘기,계단 뛰어 오르기,실내 자전거타기,하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭 ",M
1,부천,성인,일반,64,관리자,참가증,20181220,"본운동:달리기,실외 자전거타기,줄넘기,수영",F
2,사하,성인,출장,27,관리자,2등급,20181214,"준비운동:하지 루틴 스트레칭1,전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 본운동:바벨들어올리기,원판던지기,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:달리기,계단 뛰어 오르기",M
1,KSPO송파,성인,일반,25,관리자,참가증,20181214,"준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",M
6,화성,청소년,일반,14,관리자,참가증,20181214,"준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭 / 본운동:수영,트레드밀에서 걷기,실내 자전거타기,줄넘기",M
1,안동,성인,일반,20,관리자,참가증,20181217,"본운동:달리기,실외 자전거타기,트레드밀에서 걷기,줄넘기,계단 뛰어 오르기",F
1,오산,성인,일반,41,인바디,참가증,20181220,"본운동:달리기,실외 자전거타기,줄넘기,계단 뛰어 오르기,실내 자전거타기",M
1,순천,성인,일반,51,인바디,참가증,20181218,"준비운동:걷기 / 본운동:팔굽혀 펴기,윗몸 말아 올리기 / 마무리운동:전신 루틴 스트레칭",M
1,의정부,노인,일반,76,관리자,3등급,20181220,"본운동:달리기,계단 뛰어 오르기,수영",M
1,노원,성인,출장,54,관리자,참가증,20181212,"본운동:걷기,수영,엎드려 버티기,누워서 엉덩이 들어올리기,의자 앞에서 앉았다 일어서기",F
1,금천,성인,일반,31,관리자,3등급,20181224,"본운동:팔굽혀 펴기,바로서서 상체 숙이기,소파를 이용한 윗몸올리기,엎드려 버티기,네발기기 자세로 팔 다리 들기,네발기기 자세에서 다리 위로 뻗어올리기,앉았다 일어서기,몸통 들어올리기,누워 다리 들어올리기,옆으로 누워 버티기",M
1,노원,노인,일반,69,인바디,3등급,20181224,"준비운동:의자 앞에서 앉았다 일어서기,몸통 들어올리기,비복근 스트레칭,실내 자전거타기,트레드밀에서 걷기,수영",F
2,금천,성인,일반,44,관리자,3등급,20181214,"본운동:사이드 지그재그 뛰기,한발 앞뒤 교차 뛰기,스텝퍼 오르내리기,사다리 좌우 뛰기,버피운동",F
1,노원,성인,출장,56,관리자,3등급,20181212,"본운동:걷기,수영,엎드려 버티기,누워서 엉덩이 들어올리기,의자 앞에서 앉았다 일어서기",M
2,KSPO송파,청소년,일반,18,관리자,참가증,20181214,"준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",F
12,순천,노인,일반,80,인바디,참가증,20181220,"준비운동:걷기 / 본운동:엉덩이 스트레칭,엉덩이 스트레칭2 / 마무리운동:고정식 자전거 타기",F
2,KSPO송파,노인,일반,68,관리자,3등급,20181220,준비운동:전신 루틴 스트레칭,M
2,증평,성인,일반,31,관리자,2등급,20181214,"준비운동:자가근막이완술 루틴 스트레칭,상지 루틴 스트레칭,하지 루틴 스트레칭1,유산소 운동 전 동적 루틴 스트레칭 / 본운동:트레드밀에서 걷기,실내 자전거타기,달리기,수영 / 마무리운동:허리 스트레칭,배스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭",F
2,KSPO송파,성인,일반,63,인바디,3등급,20181214,준비운동:전신 루틴 스트레칭,M
3,안동,청소년,출장,17,관리자,참가증,20181211,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:순간반응 콘 찍기,앉았다 일어나며 점프하기,다리 뻗어 점프하기,좌우 양발모아 점프하기,한발로 점프하기,연속 상향 점프하기,좌우 이동하며 팔굽혀펴기,팔굽혀펴기 후 점프하기,크게 다리벌려 교차 뛰기,뒷발 교차 뛰기 / 마무리운동:정적 스트레칭  루틴프로그램",M
1,노원,성인,출장,54,관리자,3등급,20181212,"본운동:걷기,수영,엎드려 버티기,누워서 엉덩이 들어올리기,의자 앞에서 앉았다 일어서기",M
1,노원,성인,일반,20,인바디,참가증,20181220,"본운동:소파를 이용한 윗몸올리기,엎드려 버티기,옆으로 누워 버티기,누워서 다리 들어올리기,누워서 배가로근 수축 I",M
2,오산,노인,일반,74,인바디,3등급,20181226,"본운동:덤벨 잡고 앉았다 일어서기,덤벨 잡고 뒤꿈치 들기,덤벨 잡고 한발 내밀어 굽혔다 펴기,덤벨 잡고 몸통 옆으로 굽히기,벽에서 팔굽혀 펴기,엎드려 양팔 및 다리 들어올리기,물통으로 양팔 들어올리기,밴드 머리 뒤로 들어올리기",M
3,안동,성인,일반,38,관리자,1등급,20181217,"본운동:달리기,실외 자전거타기,트레드밀에서 걷기,줄넘기,계단 뛰어 오르기",F
1,노원,노인,출장,73,관리자,3등급,20181214,"본운동:밴드 걸고 누워서 다리 들어올리기,밴드 걸고 앉아서 발등 굽힘,몸통 들어올리기,엎드려 양팔 및 다리 들어올리기",F
2,의정부,성인,일반,57,관리자,2등급,20181220,"본운동:옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",F
20,곡성,노인,일반,69,관리자,3등급,20181226,"본운동:풍선차기,성화봉송,풍선 튕기기,발바닥 치기",F
1,서초,성인,일반,38,인바디,참가증,20181226,"준비운동:저항밴드 운동  루틴프로그램,정적 스트레칭  루틴프로그램",F
1,순천,성인,일반,54,인바디,참가증,20181214,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",M
2,노원,성인,일반,60,인바디,2등급,20181220,"본운동:손목 펴기/굽히기,누워서 배가로근 수축 I,소파를 이용한 윗몸올리기,엎드려서 균형잡기,엎드려서 팔 다리 들기,서서 뒤꿈치 들기,실내 자전거타기,트레드밀에서 걷기,계단 올라갔다 내려오기,수영",M
1,의정부,성인,일반,43,관리자,참가증,20181217,"준비운동:허리 스트레칭,배스트레칭,옆구리 스트레칭,목 스트레칭,상지 루틴 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2",F
1,순천,성인,일반,33,인바디,참가증,20181226,"준비운동:걷기 / 본운동:달리기,무릎 높여 제자리 달리기 / 마무리운동:전신 루틴 스트레칭",M
1,원주,청소년,출장,13,관리자,참가증,20181212,"본운동:팔굽혀 펴기,뒤로 팔굽혀펴기,팔다리 교차 버티기,전완대고 버티기,윗몸 일으키기,앉았다 일어서기,걷기,조깅,자전거타기,줄넘기 운동,수영,목 스트레칭,상체 앞으로 숙이기,엉덩이 늘리기,의자에 앉아 옆구리 숙이기",F
1,사상,성인,일반,42,인바디,참가증,20181220,"본운동:손목 펴기/굽히기,물병 옆으로 들어올리기,앉아서 팔꿈치 굽히기/펴기 ",M
1,달서,성인,일반,63,인바디,참가증,20181226,"본운동:달리기,실외 자전거타기,실내 자전거타기,트레드밀에서 걷기",F
1,부천,성인,일반,35,관리자,참가증,20181226,"본운동:달리기,실외 자전거타기,줄넘기,수영",M
1,KSPO송파,성인,일반,20,관리자,참가증,20181220,준비운동:전신 루틴 스트레칭,F
1,노원,노인,출장,74,관리자,참가증,20181214,"준비운동:의자 앞에서 앉았다 일어서기,몸통 들어올리기,비복근 스트레칭,실내 자전거타기,트레드밀에서 걷기,수영",F
1,KSPO송파,성인,일반,25,관리자,참가증,20181220,준비운동:전신 루틴 스트레칭,M
2,KSPO송파,성인,일반,38,관리자,참가증,20181220,준비운동:전신 루틴 스트레칭,F
1,강릉,성인,일반,21,관리자,3등급,20181226,"준비운동:팔벌려뛰기,앉았다 일어서면서 점프하기,팔굽혀펴기,한발 앞으로 내밀고 앉았다 일어서기,엎드려 버티기,정적 스트레칭  루틴프로그램",F
2,부천,성인,일반,57,관리자,3등급,20181220,"본운동:앉아서 다리 밀기,앉아서 다리 펴기,앉아서 당겨 내리기,몸통 들어올리기,앉았다 일어서기,누워서 밀기",M
1,KSPO송파,성인,일반,29,관리자,참가증,20181220,준비운동:전신 루틴 스트레칭,M
1,KSPO송파,성인,일반,41,관리자,참가증,20181221,준비운동:전신 루틴 스트레칭,F
3,안동,청소년,출장,17,관리자,참가증,20181211,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:웨이트 트레이닝  루틴프로그램,발 바꿔 뛰기,버피 테스트,앉았다 일어서며 팔 들어올리기,크런치 사이클,팔굽혀 펴기,앉았다 일어서기,앞굽이 앉았다 일어서기 / 마무리운동:정적 스트레칭  루틴프로그램",M
1,서초,성인,일반,43,인바디,참가증,20181215,"준비운동:저항밴드 운동  루틴프로그램,정적 스트레칭  루틴프로그램",F
4,원주,청소년,출장,15,관리자,참가증,20181212,"본운동:팔굽혀 펴기,뒤로 팔굽혀펴기,팔다리 교차 버티기,전완대고 버티기,윗몸 일으키기,앉았다 일어서기,걷기,조깅,자전거타기,줄넘기 운동,수영,목 스트레칭,상체 앞으로 숙이기,엉덩이 늘리기,의자에 앉아 옆구리 숙이기",F
2,남구(울산),성인,출장,22,관리자,참가증,20181211,"본운동:실외 자전거타기,실내 자전거타기,트레드밀에서 걷기,수영",M
1,안동,성인,출장,50,관리자,참가증,20181210,"본운동:달리기,실외 자전거타기,트레드밀에서 걷기,줄넘기,계단 뛰어 오르기",F
1,남구(울산),성인,출장,22,관리자,참가증,20181211,"본운동:실외 자전거타기,실내 자전거타기,트레드밀에서 걷기,수영",M
1,KSPO송파(출장A),성인,출장,21,관리자,참가증,20181217,"준비운동:트레드밀에서 걷기 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,넙다리 뒤쪽 스트레칭,하지 루틴 스트레칭2,상지 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 마무리운동:계단 올라갔다 내려오기",M
2,순천,성인,일반,34,인바디,2등급,20181227,"준비운동:걷기 / 본운동:달리기,윗몸 말아 올리기 / 마무리운동:전신 루틴 스트레칭",F
1,KSPO송파,성인,일반,60,관리자,1등급,20181227,"준비운동:전신 루틴 스트레칭 / 본운동:트레드밀에서 걷기,계단 올라갔다 내려오기,실내 자전거타기 / 마무리운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",M
1,부천,성인,일반,60,관리자,참가증,20181214,"본운동:앉았다 일어서기,팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기",F
1,성동,노인,출장,75,관리자,3등급,20181227,"준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:스텝박스 오르내리기 ,달리기,실외 자전거타기,줄넘기,계단 올라갔다 내려오기,수영,아쿠아로빅,물속에서 걷기,버피운동 / 마무리운동:서서 발목 뒤로 당기기,전신 루틴 스트레칭,하지 루틴 스트레칭2",M
1,안동,노인,출장,69,관리자,참가증,20181212,"준비운동:벽에서 팔굽혀 펴기,짐볼에서 엉덩이 돌리기 / 본운동:앉아서 밴드 잡고 몸통 돌리기,밴드 잡고 몸통 옆으로 굽히기,엎드려 뒤로 다리 올리기,몸통 들어올리기,의자에 앉아 등 굽혔다 펴기,엎드려 양팔 및 다리 들어올리기,밴드 걸고 옆으로 누워 다리 올리기,의자 앉아 다리로 짐볼 쥐기",F
