TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX
4,남구(울산),청소년,일반,18,관리자,참가증,20200508,"본운동:조깅,자전거타기,줄넘기 운동,수영",M
3,강릉,성인,출장,19,관리자,1등급,20200508,"준비운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,턱걸이,매달려서 다리 들기,뛰어 내렸다가 바로 점프하기,점프 팔굽혀펴기",M
1,세종,성인,출장,52,관리자,참가증,20200525,"준비운동:걷기 / 본운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭,허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 마무리운동:하지 루틴 스트레칭2",M
2,서구(대전),성인,출장,20,관리자,3등급,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",F
1,KSPO송파,성인,일반,20,관리자,참가증,20200522,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:목 굽힘/ 폄 I,네발기기 자세에서 손바닥으로 바닥밀기,물병 옆으로 들어올리기,탄력밴드 어깨 가쪽 돌림 ,허리 굽혀 팔 뒤로 들기,엎드려 버티기 / 마무리운동:전신 루틴 스트레칭",M
2,서구(대전),성인,출장,19,관리자,3등급,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M
3,남원,성인,일반,56,관리자,참가증,20200522,"본운동:달리기,트레드밀에서 걷기,줄넘기,몸통 옆으로 굽히기,윗몸 말아 올리기",F
2,서구(대전),성인,출장,20,관리자,2등급,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M
1,서구(대전),성인,출장,19,관리자,참가증,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M
1,서구(대전),성인,출장,19,관리자,참가증,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M
4,KSPO송파(출장A),성인,출장,19,관리자,참가증,20200522,"준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",F
1,KSPO송파(출장A),성인,출장,19,관리자,2등급,20200522,"준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",F
2,KSPO송파(출장A),성인,출장,19,관리자,3등급,20200522,"준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",F
1,곡성,성인,일반,19,관리자,3등급,20200522,"본운동:달리기,수영,실외 자전거타기,계단 뛰어 오르기",F
1,서구(대전),성인,출장,19,관리자,3등급,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M
2,서구(대전),성인,출장,19,관리자,참가증,20200522,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M
