TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX
1,무안,유소년,출장,11,관리자,참가증,20210514,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:두발모아 걷기,한 칸 건너뛰며 걷기,달리기,줄넘기,줄넘기 운동 / 마무리운동:나비자세,몸통 스트레칭,옆구리 스트레칭",F
1,무안,유소년,출장,11,관리자,참가증,20210514,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:두발모아 걷기,한 칸 건너뛰며 걷기,달리기,줄넘기,줄넘기 운동 / 마무리운동:나비자세,몸통 스트레칭,옆구리 스트레칭",F
1,무안,유소년,출장,11,관리자,참가증,20210514,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:두발모아 걷기,한 칸 건너뛰며 걷기,달리기,줄넘기,줄넘기 운동 / 마무리운동:나비자세,몸통 스트레칭,옆구리 스트레칭",M
1,무안,유소년,출장,11,관리자,참가증,20210514,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:두발모아 걷기,한 칸 건너뛰며 걷기,달리기,줄넘기,줄넘기 운동 / 마무리운동:나비자세,몸통 스트레칭,옆구리 스트레칭",M
1,무안,유소년,출장,11,관리자,참가증,20210514,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:두발모아 걷기,한 칸 건너뛰며 걷기,달리기,줄넘기,줄넘기 운동 / 마무리운동:나비자세,몸통 스트레칭,옆구리 스트레칭",M
1,순천,청소년,일반,17,인바디,참가증,20210501,"준비운동:걷기 / 본운동:상지 루틴 스트레칭,전신 루틴 스트레칭 / 마무리운동:실내 자전거타기",M
1,순천,청소년,일반,17,인바디,3등급,20210501,"준비운동:걷기 / 본운동:줄넘기,계단 올라갔다 내려오기 / 마무리운동:실내 자전거타기",M
1,순천,청소년,일반,17,인바디,참가증,20210501,"준비운동:걷기 / 본운동:상지 루틴 스트레칭,전신 루틴 스트레칭 / 마무리운동:실내 자전거타기",M
1,순천,청소년,일반,18,인바디,2등급,20210501,"준비운동:걷기 / 본운동:줄넘기,계단 올라갔다 내려오기 / 마무리운동:실내 자전거타기",M
1,순천,청소년,일반,17,인바디,참가증,20210501,"준비운동:걷기 / 본운동:상지 루틴 스트레칭,전신 루틴 스트레칭 / 마무리운동:실내 자전거타기",M
1,순천,청소년,일반,17,인바디,2등급,20210501,"준비운동:걷기 / 본운동:줄넘기,계단 올라갔다 내려오기 / 마무리운동:실내 자전거타기",M
1,순천,청소년,일반,17,인바디,참가증,20210501,"준비운동:걷기 / 본운동:상지 루틴 스트레칭,전신 루틴 스트레칭 / 마무리운동:실내 자전거타기",M
